ID,name,janru,itemscore
1,白菜,野菜,1
2,ネギ,野菜,0
3,キャベツ,野菜,10
4,大根,野菜,4
5,春菊,野菜,7
6,水菜,野菜,3
7,人参,野菜,2
8,ごぼう,野菜,6
9,もやし,野菜,3
10,にら,野菜,1
11,小松菜,野菜,2
12,ブロッコリー,野菜,1
13,パクチー,野菜,0
14,アボカド,野菜,2
15,山芋,野菜,0
16,とまと,野菜,8
17,豚肉,肉,3
18,鶏肉,肉,2
19,牛肉,肉,2
20,ホルモン,肉,6
21,スペアリブ,肉,8
22,ソーセージ,肉,3
23,つくね,肉,8
24,餃子,肉,10
25,豆腐,その他,2
26,こんにゃく,その他,0
27,しらたき,その他,5
28,油揚げ,その他,10
29,葛切り,その他,9
30,カマンベールチーズ,その他,2
31,はんぺん,その他,8
32,たまご,その他,4
33,バター,その他,5
34,着色料（青）,その他,0
35,キムチ,その他,7
36,鱈,魚介類,8
37,鮭,魚介類,9
38,蟹,魚介類,0
39,海老,魚介類,1
40,牡蠣,魚介類,5
41,鯖缶,魚介類,6
42,ホタテ,魚介類,10
43,米,主食,7
44,餅,主食,0
45,うどん,主食,9
46,ラーメン,主食,0
47,スパゲッティ,主食,9
48,マカロニ,主食,9
49,生クリーム,はずれ,6
50,チョコレート,はずれ,0
51,納豆,はずれ,9
52,ドライフルーツ,はずれ,3
53,バニラエッセンス,はずれ,9
54,りんご,はずれ,4
55,みかん,はずれ,8
56,れもん,はずれ,6
57,もも,はずれ,10
58,柿,はずれ,2
59,たがめ,はずれ,5
60,イナゴ,はずれ,10
