ID,name,janru,itemscore
0,白菜,野菜,1
1,ネギ,野菜,0
2,キャベツ,野菜,10
3,大根,野菜,4
4,春菊,野菜,7
5,水菜,野菜,3
6,人参,野菜,2
7,ごぼう,野菜,6
8,もやし,野菜,3
9,にら,野菜,1
10,小松菜,野菜,2
11,ブロッコリー,野菜,1
12,パクチー,野菜,0
13,アボカド,野菜,2
14,山芋,野菜,0
15,とまと,野菜,8
16,豚肉,肉,3
17,鶏肉,肉,2
18,牛肉,肉,2
19,ホルモン,肉,6
20,スペアリブ,肉,8
21,ソーセージ,肉,3
22,つくね,肉,8
23,餃子,肉,10
24,豆腐,その他,2
25,こんにゃく,その他,0
26,しらたき,その他,5
27,油揚げ,その他,10
28,葛切り,その他,9
29,カマンベールチーズ,その他,2
30,はんぺん,その他,8
31,たまご,その他,4
32,バター,その他,5
33,着色料（青）,その他,0
34,キムチ,その他,7
35,鱈,魚介類,8
36,鮭,魚介類,9
37,蟹,魚介類,0
38,海老,魚介類,1
39,牡蠣,魚介類,5
40,鯖缶,魚介類,6
41,ホタテ,魚介類,10
42,米,主食,7
43,餅,主食,0
44,うどん,主食,9
45,ラーメン,主食,0
46,スパゲッティ,主食,9
47,マカロニ,主食,9
48,生クリーム,はずれ,6
49,チョコレート,はずれ,0
50,納豆,はずれ,9
51,ドライフルーツ,はずれ,3
52,バニラエッセンス,はずれ,9
53,りんご,はずれ,4
54,腐ったみかん,はずれ,8
55,ゲキすっぱれもん,はずれ,6
56,もも,はずれ,10
57,しぶしぶ柿,はずれ,2
58,たがめ,はずれ,5
59,イナゴ,はずれ,10
