ID,name,janru,itemscore
0,白菜,野菜,9
1,ネギ,野菜,8
2,キャベツ,野菜,6
3,大根,野菜,5
4,春菊,野菜,4
5,水菜,野菜,4
6,人参,野菜,7
7,ごぼう,野菜,5
8,もやし,野菜,6
9,にら,野菜,2
10,小松菜,野菜,3
11,ブロッコリー,野菜,1
12,パクチー,野菜,-7
13,アボカド,野菜,2
14,山芋,野菜,1
15,とまと,野菜,6
16,豚肉,肉,8
17,鶏肉,肉,7
18,牛肉,肉,7
19,ホルモン,肉,6
20,スペアリブ,肉,8
21,ソーセージ,肉,7
22,つくね,肉,6
23,餃子,肉,10
24,豆腐,その他,3
25,こんにゃく,その他,2
26,しらたき,その他,4
27,油揚げ,その他,4
28,葛切り,その他,9
29,カマンベールチーズ,その他,9
30,はんぺん,その他,6
31,たまご,その他,5
32,バター,その他,4
33,着色料（青）,その他,0
34,キムチ,その他,7
35,鱈,魚介類,6
36,鮭,魚介類,7
37,蟹,魚介類,10
38,海老,魚介類,9
39,牡蠣,魚介類,7
40,鯖缶,魚介類,3
41,ホタテ,魚介類,8
42,米,主食,8
43,餅,主食,3
44,うどん,主食,9
45,ラーメン,主食,7
46,スパゲッティ,主食,6
47,マカロニ,主食,7
48,生クリーム,はずれ,-6
49,チョコレート,はずれ,-8
50,納豆,はずれ,-10
51,ドライフルーツ,はずれ,3
52,バニラエッセンス,はずれ,9
53,りんご,はずれ,4
54,腐ったみかん,はずれ,-13
55,ゲキすっぱれもん,はずれ,-8
56,もも,はずれ,-9
57,しぶしぶ柿,はずれ,-5
58,たがめ,はずれ,-7
59,イナゴ,はずれ,-11
